Date,Price,Open,High,Low,Vol.,Change %
11/2/23,14.57,14.26,14.59,14.24,4.11M,3.48%
11/1/23,14.08,13.98,14.1,13.69,3.41M,0.72%
10/31/23,13.98,13.72,14.02,13.63,3.07M,1.75%
10/30/23,13.74,13.87,14.04,13.62,2.88M,-0.07%
10/27/23,13.75,14.29,14.42,13.73,3.38M,-3.10%
10/26/23,14.19,14.18,14.35,13.86,3.48M,0.64%
10/25/23,14.1,13.98,14.27,13.7,4.50M,0.64%
10/24/23,14.01,13.71,14.11,13.6,4.02M,2.56%
10/23/23,13.66,13.54,13.86,13.24,4.36M,0.29%
10/20/23,13.62,13.69,13.82,13.57,3.45M,-0.73%
10/19/23,13.72,14.03,14.15,13.69,5.17M,-2.21%
10/18/23,14.03,14.34,14.49,13.9,4.92M,-3.44%
10/17/23,14.53,13.96,14.74,13.93,5.66M,2.90%
10/16/23,14.12,14.29,14.57,14.1,5.05M,0.43%
10/13/23,14.06,14.3,14.35,13.94,3.04M,-2.02%
10/12/23,14.35,14.73,14.73,14.12,4.98M,-2.51%
10/11/23,14.72,14.32,14.77,14.32,5.19M,2.58%
10/10/23,14.35,14.09,14.59,14.09,4.43M,2.50%
10/9/23,14,14,14.12,13.7,3.98M,-1.41%
10/6/23,14.2,14.12,14.59,13.81,3.89M,-0.21%
10/5/23,14.23,14.61,14.73,14.1,3.44M,-3.20%
10/4/23,14.7,14.57,14.77,14.38,3.76M,1.17%
10/3/23,14.53,14.97,15.04,14.47,3.58M,-3.84%
10/2/23,15.11,14.94,15.18,14.74,3.85M,1.14%
9/29/23,14.94,14.77,14.99,14.67,4.33M,3.25%
9/28/23,14.47,14.23,14.57,14.2,3.43M,2.48%
9/27/23,14.12,14.21,14.36,13.88,3.48M,-0.21%
9/26/23,14.15,14.01,14.34,13.86,3.44M,-1.19%
9/25/23,14.32,14.04,14.41,13.96,3.75M,1.34%
9/22/23,14.13,14.33,14.52,14,3.20M,-0.84%
9/21/23,14.25,14.23,14.66,14.2,3.40M,-1.32%
9/20/23,14.44,14.61,14.73,14.39,2.79M,-0.69%
9/19/23,14.54,14.47,14.61,14.33,3.06M,0.07%
9/18/23,14.53,14.68,14.78,14.32,3.37M,-1.36%
9/15/23,14.73,14.75,14.88,14.61,10.66M,-0.81%
9/14/23,14.85,14.63,14.96,14.6,4.49M,2.41%
9/13/23,14.5,14.3,14.55,14.01,5.29M,1.47%
9/12/23,14.29,14.11,14.44,14.06,5.06M,0.92%
9/11/23,14.16,14.68,14.77,14.11,5.36M,-3.28%
9/8/23,14.64,14.6,14.76,14.45,4.61M,-0.14%
9/7/23,14.66,14.8,14.93,14.6,5.88M,-1.61%
9/6/23,14.9,15.14,15.3,14.84,7.14M,-2.55%
9/5/23,15.29,15.77,15.84,15.24,5.64M,-4.85%
9/1/23,16.07,16.32,16.53,16.01,3.60M,-0.92%
