Date,Price,Open,High,Low,Vol.,Change %
11/9/23,49.64,50.35,50.97,49.49,1.68M,-0.74%
11/8/23,50.01,50.22,50.95,49.94,1.22M,-0.36%
11/7/23,50.19,49.1,50.45,49.1,1.98M,2.10%
11/6/23,49.16,47.98,49.24,47.98,1.78M,3.06%
11/3/23,47.7,47.88,48.34,47.33,2.25M,1.17%
11/2/23,47.15,46.6,47.33,46.08,2.29M,1.40%
11/1/23,46.5,48.12,48.42,46.06,2.35M,-3.57%
10/31/23,48.22,48.09,48.28,47.59,2.00M,0.27%
10/30/23,48.09,46.67,48.63,46.59,3.39M,4.32%
10/27/23,46.1,46.24,49.8,45.58,6.77M,-1.45%
10/26/23,46.78,47.76,48.11,46.67,3.17M,-2.46%
10/25/23,47.96,48.38,49.35,47.93,2.01M,-1.36%
10/24/23,48.62,48.72,49.08,48.33,2.13M,1.25%
10/23/23,48.02,48.25,48.31,47.35,2.44M,-0.85%
10/20/23,48.43,48.73,48.99,48.13,1.79M,-0.72%
10/19/23,48.78,49.15,49.82,48.76,1.54M,-0.83%
10/18/23,49.19,50.22,50.38,48.76,2.29M,-2.56%
10/17/23,50.48,49.35,50.99,49.05,2.41M,2.19%
10/16/23,49.4,48.55,49.73,48.55,1.73M,2.72%
10/13/23,48.09,48.26,48.58,47.75,1.47M,-0.76%
10/12/23,48.46,48.78,48.95,47.66,1.60M,-0.04%
10/11/23,48.48,48.7,49.03,47.93,1.06M,-0.39%
10/10/23,48.67,48.29,49.36,47.65,1.25M,1.61%
10/9/23,47.9,48.18,48.18,47.05,1.28M,-1.36%
10/6/23,48.56,47.73,48.76,47.28,1.18M,1.23%
10/5/23,47.97,48.69,48.85,47.88,1.10M,-1.74%
10/4/23,48.82,48.38,48.84,47.77,1.27M,0.87%
10/3/23,48.4,48.65,48.99,47.9,1.30M,-1.08%
10/2/23,48.93,48.73,49.31,48.52,1.57M,-0.04%
9/29/23,48.95,49.95,50.62,48.91,2.33M,2.28%
9/28/23,47.86,47.14,48.07,47.14,1.60M,1.68%
9/27/23,47.07,47.24,47.48,46.68,1.28M,-0.19%
9/26/23,47.16,47.85,48.06,46.9,1.40M,-1.85%
9/25/23,48.05,47.09,48.6,47.09,1.78M,0.84%
9/22/23,47.65,48.19,48.37,47.33,1.44M,-0.31%
9/21/23,47.8,47.3,48.55,47.25,2.42M,0.46%
9/20/23,47.58,47.98,48.27,47.43,1.45M,-0.54%
9/19/23,47.84,46.91,48.17,46.91,1.82M,1.77%
9/18/23,47.01,48.48,48.62,46.59,1.84M,-0.78%
9/15/23,47.38,47.25,47.47,46.86,2.92M,-0.13%
9/14/23,47.44,47.37,47.75,46.96,2.00M,0.64%
9/13/23,47.14,48.75,48.94,46,4.41M,-4.01%
9/12/23,49.11,48.94,49.73,48.82,1.35M,0.16%
9/11/23,49.03,49.35,49.58,48.71,1.76M,-0.02%
9/8/23,49.04,49.31,49.44,48.59,1.17M,-0.47%
9/7/23,49.27,48.52,49.4,48.12,1.91M,0.78%
9/6/23,48.89,50.32,50.38,48.5,2.42M,-3.05%
9/5/23,50.43,51.27,51.63,50.06,2.07M,-2.19%
9/1/23,51.56,50.57,51.63,50.42,1.88M,2.48%
